S.No.,NepaliDescription,EnglishDescription,Description,Category,Rate (Rs. per 1000),,,,,,,,,,,,,,,,,,,,,,,,
128,अनियो नभनियो क्यासेट, नसनि, नसनि अनियो नभनियो क्यासेट, निनभनि, एमनि, एलनि,Audio Video Cassette, CD, DVD, MD, LD,मध्यम जोखिम,3,,,,,,,,,,,,,,,,
129,अदवा,Ginger,Ginger अदवा,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
130,अलैंची,Cardamom,Cardamom अलैंची,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
131,र्जनर्जी नड्रङक,Energy Drink,Energy Drink र्जनर्जी नड्रङक,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
132,र्नन्र्जनियरिङ वकशप (रु दर् करोड सम्मको बीमाङकको लागि मात्र),Engineering Workshop consist of Machine Shop (Turning,Engineering Workshop consist of Machine Shop (Turning र्नन्र्जनियरिङ वकशप (रु दर् करोड सम्मको बीमाङकको लागि मात्र), Milling, Drilling, Grinding, Cutting etc), the Fitting Shop, the Foundry Shop, the Blacksmith, the Welding shop and the with 2 crore sum assured limit,मध्यम जोखिम,3,,,,,,,,,,,,,,,,
133,उि नमल,Woolen Mills,Woolen Mills उि नमल,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
134,उि सफा र्िे तथा नथच्िे,Wool Cleaning and Pressing,Wool Cleaning and Pressing उि सफा र्िे तथा नथच्िे,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
135,ऊि,wool,wool ऊि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
136,एअिक्राफ्ट ह्याङर्ि,Aircraft Hangers,Aircraft Hangers एअिक्राफ्ट ह्याङर्ि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
137,कत्था,Katha,Katha कत्था,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
138,कन्फेक्सििी,Confectionary,Confectionary कन्फेक्सििी,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
139,कपिामा वट्टा भि,Embroidery,Embroidery कपिामा वट्टा भि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
140,कपास तथा कपास प्रशोधि,Cotton and Cotton Procesing,Cotton and Cotton Procesing कपास तथा कपास प्रशोधि,मध्यम जोखिम,3,,,,,,,,,,,,,,,,,,,,,,,,
